,encounter,is_cm,time,player,dps,might up,fury up,quick up,alac up,regen up,might out,fury out,quick out,alac out,regen out,dmgTaken,downed,cleanses,above90%,role,predicted_role,primary role,secondary role
3,Deimos CM,TRUE,347,Morg.8143,0,12.726,98.557,92.64,71.025,3.11,0,0,0,0,0,146978,1,0,0,2,leftover/trash/whatever,DPS,
7,Deimos CM,TRUE,347,Arikashin.2675,328,18.182,98.72,98.796,84.714,67.9,0.141,12.803,0,0,0,204791,1,1,100,2,leftover/trash/whatever,DPS,
8,Deimos CM,TRUE,347,Tarasicodissa.7084,14,20.404,98.904,99.342,93.372,79.191,0,11.981,0,0,0,247900,0,0,100,2,leftover/trash/whatever,DPS,
9,Deimos CM,TRUE,347,GoGo.8725,112,19.954,98.714,98.377,88.863,74.825,0,18.731,0,0,0,187215,0,3,100,2,leftover/trash/whatever,DPS,
10,Deimos CM,TRUE,347,Shackled Prisoner,0,,,,,,0,0,0,0,0,288364,0,0,0,2,leftover/trash/whatever,Heal,
11,Deimos CM,TRUE,347,Saul D'Alessio,0,7.384,42.928,9.068,62.277,18.735,0,0,0,0,0,586,0,0,0,2,leftover/trash/whatever,Heal,
0,Keep Construct CM,TRUE,300,yelle.7165,24949,23.142,98.959,99.886,99.882,92.469,0.399,0,0,0,34.621,191801,0,4,93.0184804928132,0,dps,DPS,
4,Keep Construct CM,TRUE,300,Morg.8143,20297,16.42,98.913,93.807,74.644,94.054,0.142,0,0,0,0,233084,0,0,68.3734939759036,0,dps,DPS,
5,Keep Construct CM,TRUE,300,GoGo.8725,19770,22.863,59.181,99.897,94.84,91.402,0,0,0,0,2.922,182551,0,0,75.5223880597015,0,dps,DPS,
8,Keep Construct CM,TRUE,300,Tarasicodissa.7084,23536,24.796,98.831,99.448,99.882,97.981,0.121,0,0,0,14.953,192543,0,88,92.4825174825175,0,dps,DPS,
9,Keep Construct CM,TRUE,300,Arikashin.2675,21497,22.637,98.753,99.303,92.015,88.341,0.001,24.706,0,0,0,193824,0,0,79.0966386554622,0,dps,DPS,
3,Xera,FALSE,281,Morg.8143,0,15.699,76.244,50.451,62.845,64.794,0.073,0,0,0,0,61409,0,0,0,2,leftover/trash/whatever,DPS,
4,Xera,FALSE,281,yelle.7165,65,17.319,73.458,57.098,75.022,70.64,0,0,0,0,23.14,64286,0,0,0,2,leftover/trash/whatever,DPS,
6,Xera,FALSE,281,GoGo.8725,179,22.434,55.098,98.777,93.412,79.078,0,0,0,0,1.597,70185,0,0,100,2,leftover/trash/whatever,DPS,
7,Xera,FALSE,281,Tarasicodissa.7084,0,24.295,71.76,98.777,99.172,83.167,0.022,0,0,0,0.531,57399,0,51,0,2,leftover/trash/whatever,DPS,
9,Xera,FALSE,281,Arikashin.2675,3,19.242,62.204,92.784,84.703,78.894,0,10.463,0,0,0,68371,0,2,100,2,leftover/trash/whatever,DPS,Portal
1,Slothasor,FALSE,144,yelle.7165,20610,22.582,97.807,97.277,97.507,81.123,0,25.051,0,0,0.001,127550,0,23,80.8926080892608,0,dps,DPS,
2,Slothasor,FALSE,144,Morg.8143,15289,20.715,97.807,97.277,97.507,77.296,0.328,0,0,0,0,228438,2,0,64.4268774703557,0,dps,DPS,
3,Slothasor,FALSE,144,Styx.3278,18293,20.734,95.737,94.674,95.101,77.445,0,25.305,0,0,0,125100,0,16,88.7798036465638,0,dps,DPS,
5,Slothasor,FALSE,144,Arikashin.2675,9531,22.282,89.984,81.634,84.525,80.267,0,18.971,0,0,0,219056,2,0,80.1749271137026,2,leftover/trash/whatever,DPS,
7,Slothasor,FALSE,144,Tarasicodissa.7084,18058,23.999,98.493,98.559,99.023,96.178,0,0,0,0,7.363,159847,1,34,90.3614457831325,0,dps,DPS,
8,Slothasor,FALSE,144,GoGo.8725,13656,23.806,94.2,94.156,98.594,95.07,0,16.432,0,0,0,130164,1,6,87.6785714285714,0,dps,DPS,
0,Matthias Gabrel,FALSE,164,yelle.7165,23315,22.095,99.96,95.926,77.574,75.518,0,23.537,0,0,0.324,128820,1,5,70.6521739130435,0,dps,DPS,
1,Matthias Gabrel,FALSE,164,Morg.8143,19255,20.61,99.959,87.044,92.391,65.255,0,0,0,0,0,124706,2,1,75.8904109589041,0,dps,DPS,
3,Matthias Gabrel,FALSE,164,Styx.3278,20891,23.751,99.959,94.851,98.071,77.422,0,20.548,0,0,0,149248,0,5,69.4019471488178,0,dps,DPS,
5,Matthias Gabrel,FALSE,164,Tarasicodissa.7084,15493,21.159,94.083,93.346,87.543,81.353,0,0,0,0,9.249,127875,0,29,66.5706051873199,0,dps,DPS,
8,Matthias Gabrel,FALSE,164,Arikashin.2675,15446,22.956,97.908,99.093,74.219,84.982,0,16.615,0,0,0,135160,2,10,56.3664596273292,0,dps,DPS,Portal
9,Matthias Gabrel,FALSE,164,GoGo.8725,17923,22.929,97.908,98.473,96.055,86.951,0,18.54,0,0,0,128334,0,12,75.1111111111111,0,dps,DPS,
0,Vale Guardian,FALSE,146,Styx.3278,22267,24.092,99.05,98.676,98.337,79.219,3.766,21.244,0,0,1.58,116044,0,0,94.4976076555024,0,dps,DPS,
1,Vale Guardian,FALSE,146,yelle.7165,19295,21.728,99.054,98.885,99.214,77.223,0,23.446,0,0,0,142205,0,3,92.4812030075188,0,dps,DPS,
4,Vale Guardian,FALSE,146,Morg.8143,16847,22.141,99.054,98.162,97.674,83.092,0.269,0,0,0,0,154695,0,0,83.8345864661654,0,dps,DPS,
6,Vale Guardian,FALSE,146,GoGo.8725,15692,23.696,98.855,99.406,98.338,94.791,0,17.66,0,0,0,167084,1,2,88.2352941176471,0,dps,DPS,
8,Vale Guardian,FALSE,146,Tarasicodissa.7084,18725,24.414,98.855,99.406,99.214,98.141,0.758,0,0,0,5.486,113028,0,1,91.1111111111111,0,dps,DPS,
9,Vale Guardian,FALSE,146,Arikashin.2675,13836,22.069,95.671,98.019,89.49,87.511,0,23.189,0,0,0,156392,0,2,91.4110429447853,0,dps,DPS,
2,Gorseval the Multifarious,FALSE,124,yelle.7165,21351,24.128,98.017,98.274,97.511,73.353,0,23.876,0,0,1.23,88092,0,0,80.0959232613909,0,dps,DPS,
4,Gorseval the Multifarious,FALSE,124,Morg.8143,19164,22.939,98.854,99.075,94.24,97.511,0.152,0,0,0,0.378,81118,0,1,67.9525222551929,0,dps,DPS,
7,Gorseval the Multifarious,FALSE,124,GoGo.8725,19751,24.656,99.522,90.092,99.846,98.723,0,24.828,0,0,0.395,85234,0,0,86.0189573459716,0,dps,DPS,
8,Gorseval the Multifarious,FALSE,124,Tarasicodissa.7084,19920,24.55,99.522,93.944,99.846,98.723,0.788,0,0,0,11.966,60983,0,0,97.2727272727273,0,dps,DPS,
9,Gorseval the Multifarious,FALSE,124,Arikashin.2675,17231,23.98,98.111,87.746,98.663,95.005,0,17.806,0,0,0,91676,0,0,63.2047477744807,0,dps,DPS,
1,Sabetha the Saboteur,FALSE,184,Styx.3278,25869,24.126,98.717,98.23,98.263,84.429,3.204,22.538,0,0,7.239,114624,0,0,91.1888111888112,0,dps,DPS,
3,Sabetha the Saboteur,FALSE,184,yelle.7165,24902,24.1,98.591,98.23,97.521,80.591,0,25.983,0,0,1.894,141204,0,5,90.7330567081604,0,dps,DPS,
4,Sabetha the Saboteur,FALSE,184,Morg.8143,21253,23.749,98.591,98.23,98.263,91.649,0.234,0,0,0,0,180404,0,1,77.3618538324421,0,dps,DPS,
7,Sabetha the Saboteur,FALSE,184,GoGo.8725,22182,22.209,98.718,99.694,93.656,95.889,0,16.808,0,0,0.272,117993,0,8,92.9906542056075,0,dps,DPS,
8,Sabetha the Saboteur,FALSE,184,Arikashin.2675,19061,24.074,97.244,99.694,95.935,95.411,0.054,18.094,0,0,0,149834,0,4,82.803738317757,0,dps,DPS,
9,Sabetha the Saboteur,FALSE,184,Tarasicodissa.7084,19596,24.215,98.718,99.694,95.592,96.629,0.347,0,0,0,12.894,102849,0,12,89.4568690095847,0,dps,DPS,
1,Cardinal Adina CM,TRUE,229,Morg.8143,11805,24.156,98.683,96.938,97.059,71.831,0.001,0,0,0,0.221,154606,0,0,99.2779783393502,2,leftover/trash/whatever,DPS,
4,Cardinal Adina CM,TRUE,229,yelle.7165,14941,23.912,98.659,96.938,92.931,72.345,0,17.039,0,0,2.103,155572,1,0,87.5656742556918,0,dps,DPS,
6,Cardinal Adina CM,TRUE,229,Tarasicodissa.7084,11621,20.837,98.561,91.867,85.655,83.354,0,14.374,0,0,1.026,171112,0,1,93.9759036144578,2,leftover/trash/whatever,DPS,Kiter
7,Cardinal Adina CM,TRUE,229,GoGo.8725,13114,20.646,98.561,91.11,86.185,76.217,0,21.252,0,0,1.046,170785,0,1,95.6967213114754,2,leftover/trash/whatever,DPS,
8,Cardinal Adina CM,TRUE,229,Arikashin.2675,11582,22.263,98.683,96.783,76.556,79.223,0,16.114,0,0,0,172770,0,0,84.6153846153846,2,leftover/trash/whatever,DPS,
1,Sabetha the Saboteur,FALSE,206,Cry Me A River.8275,13509,19.84,98.857,88.628,90.738,40.859,0,8.252,0,0,0,93851,1,16,79.8850574712644,0,dps,DPS,
2,Sabetha the Saboteur,FALSE,206,Nopiki.8352,22641,23.827,98.857,95.889,95.251,43.189,0,15.489,0,0,0.117,157579,0,35,78.7298387096774,0,dps,DPS,
3,Sabetha the Saboteur,FALSE,206,MrCamonkill.6419,19913,22.927,98.857,94.654,96.091,57.608,6.301,0,0,0,0,103595,0,19,74.502712477396,0,dps,DPS,
6,Sabetha the Saboteur,FALSE,206,MonTheR.2460,16891,22.568,98.045,90.717,98.525,80.449,0.078,17.597,0,0,0,114384,1,10,79.6261682242991,0,dps,DPS,
7,Sabetha the Saboteur,FALSE,206,Montgomery.1624,21355,24.235,98.857,97.992,98.524,95.477,5.366,0,0,0,0,104542,0,5,93.621867881549,0,dps,DPS,
9,Sabetha the Saboteur,FALSE,206,DavidBG.6194,20948,24.386,98.045,98.018,98.525,94.365,1.201,0,0,0,0,101077,0,9,84.3672456575682,0,dps,DPS,Swords
1,Gorseval the Multifarious,FALSE,143,Cry Me A River.8275,17240,20.569,99.281,85.891,97.71,66.484,0,11.522,0,0,0,82879,0,1,95.6730769230769,0,dps,DPS,
2,Gorseval the Multifarious,FALSE,143,Nopiki.8352,18013,20.801,99.281,64.272,87.755,74.794,0,6.571,0,0,0,124100,0,4,83.3333333333333,0,dps,DPS,
3,Gorseval the Multifarious,FALSE,143,MrCamonkill.6419,15573,21.474,97.213,81.704,93.886,56.726,6.262,0,0,0,0,101203,0,8,84.2424242424243,0,dps,DPS,
5,Gorseval the Multifarious,FALSE,143,MonTheR.2460,18397,24.355,99.198,99.087,99.527,77.185,0.06,23.403,0,0,0,140170,0,0,53.1914893617021,0,dps,DPS,
7,Gorseval the Multifarious,FALSE,143,Montgomery.1624,17677,24.557,99.281,99.087,94.558,79.349,0.731,0,0,0,0,84030,0,2,86.9209809264305,0,dps,DPS,
9,Gorseval the Multifarious,FALSE,143,DavidBG.6194,19255,24.62,99.198,99.087,99.527,75.165,1.35,0,0,0,0,87833,0,8,97.1326164874552,0,dps,DPS,
1,Vale Guardian,FALSE,156,Nopiki.8352,18706,22.855,97.25,80.519,98.729,77.314,0,12.41,0,0,0,158899,0,3,86.3924050632911,0,dps,DPS,
3,Vale Guardian,FALSE,156,Cry Me A River.8275,18482,22.549,99.065,83.795,99.164,71.641,0,13.238,0,0,0,116978,0,5,90.2010050251256,0,dps,DPS,
4,Vale Guardian,FALSE,156,MrCamonkill.6419,13455,21.339,97.117,84.773,94.832,74.873,6.265,0,0,0,0,143427,0,2,80.4635761589404,0,dps,DPS,
6,Vale Guardian,FALSE,156,MonTheR.2460,17567,23.471,99.065,74.964,99.164,72.778,0.048,24.832,0,0,0,158871,2,3,74.6835443037975,0,dps,DPS,
7,Vale Guardian,FALSE,156,Montgomery.1624,14500,23.498,98.964,81.949,98.73,93.205,6.526,0,0,0,0,138518,0,4,91.588785046729,0,dps,DPS,
9,Vale Guardian,FALSE,156,DavidBG.6194,16364,23.624,99.167,99.093,99.165,96.889,1.807,0,0,0,0,122329,0,1,95.2380952380952,0,dps,DPS,
0,Matthias Gabrel,FALSE,202,MrCamonkill.6419,18959,22.055,99.148,93.47,98.254,90.796,3.42,0,0,0,0.264,180012,0,18,73.4006734006734,0,dps,DPS,
3,Matthias Gabrel,FALSE,202,Cry Me A River.8275,11786,22.748,99.148,94.038,98.293,93.866,2.415,35.096,0,0,17.417,119446,0,7,90.1785714285714,2,leftover/trash/whatever,DPS,
4,Matthias Gabrel,FALSE,202,Nopiki.8352,20384,23.438,99.148,72.779,98.293,90.224,0,15.472,0,0,0,182502,0,26,74.5621351125938,0,dps,DPS,
6,Matthias Gabrel,FALSE,202,ups.9017,1816,15.619,71.329,66.599,62.072,28.277,0,4.04,0,0,0,7648,0,0,100,2,leftover/trash/whatever,DPS,
8,Matthias Gabrel,FALSE,202,MonTheR.2460,16709,20.853,96.105,81.63,94.467,55.737,0.113,15.731,0,0,0,240897,4,6,63.4081902245707,0,dps,DPS,
3,Slothasor,FALSE,179,Cry Me A River.8275,11322,16.659,97.955,61.886,97.018,60.282,0,18.672,0,0,0,262389,2,65,74.2301458670989,2,leftover/trash/whatever,DPS,
4,Slothasor,FALSE,179,Nopiki.8352,12927,18.317,93.565,60.431,85.009,65.035,0,12.663,0,0,0,346580,3,21,75.5102040816327,2,leftover/trash/whatever,DPS,
6,Slothasor,FALSE,179,ups.9017,15950,21.846,94.089,88.138,94.093,79.828,0,22.004,0,0,0,294720,1,5,81.8763326226013,0,dps,DPS,Kiter
8,Slothasor,FALSE,179,MonTheR.2460,14183,22.688,93.895,79.459,96.332,84.474,0.228,19.366,0,0,0,278415,2,16,83.8487972508591,0,dps,DPS,
3,Slothasor,FALSE,89,Cry Me A River.8275,12510,20.485,98.047,62.972,85.537,65.799,0,15.012,0,0,0,136471,2,15,75.3521126760563,2,leftover/trash/whatever,DPS,
4,Slothasor,FALSE,89,Nopiki.8352,14880,21.121,91.896,54.358,81.9,45.856,0,8.431,0,0,0,151411,1,3,82.6638477801268,0,dps,DPS,
6,Slothasor,FALSE,89,Montgomery.1624,15487,22.9,95.233,90.34,97.625,86.001,4.868,0,0,0,2.348,140635,1,7,59.3137254901961,0,dps,DPS,Tank
7,Slothasor,FALSE,89,MonTheR.2460,13441,21.561,88.845,75.873,89.653,78.932,0.355,18.361,0,0,0,123745,1,6,49.0706319702602,0,dps,DPS,
8,Slothasor,FALSE,89,ups.9017,20381,22.209,97.39,81.506,80.354,82.769,0.378,10.973,0,0,0,129033,0,5,82.6086956521739,0,dps,DPS,
2,Xera,FALSE,269,MrCamonkill.6419,4,15.378,79.339,64.215,80.205,42.726,3.758,0,0,0,0,107129,0,38,0,2,leftover/trash/whatever,DPS,
3,Xera,FALSE,269,Nopiki.8352,0,17.804,86.434,72.463,90.275,57.636,0.029,0,0,0,0,74532,0,0,0,2,leftover/trash/whatever,DPS,
4,Xera,FALSE,269,Cry Me A River.8275,131,17.811,93.562,62.88,93.321,41.756,0,17.308,0,0,0,44605,0,23,100,2,leftover/trash/whatever,DPS,Tank
6,Xera,FALSE,269,ups.9017,0,20.627,99.487,77.033,81.476,56.24,2.586,0,0,0,0,74197,0,35,0,2,leftover/trash/whatever,DPS,
8,Xera,FALSE,269,Montgomery.1624,129,20.561,79.29,81.04,72.012,43.641,0.16,0,0,0,0,52934,0,0,100,2,leftover/trash/whatever,DPS,
9,Xera,FALSE,269,MonTheR.2460,8,21.346,99.245,81.271,79.543,66.975,2.176,0,0,0,0,69246,0,27,100,2,leftover/trash/whatever,DPS,
1,Keep Construct CM,TRUE,328,MrCamonkill.6419,16486,17.312,99.81,91.166,82.202,44.426,4.787,0,0,0,0,235928,2,39,74.6681415929204,0,dps,DPS,
2,Keep Construct CM,TRUE,328,Nopiki.8352,19578,19.297,98.103,96.924,97.757,67.07,0.209,0,0,0,0,259931,2,1,79.4701986754967,0,dps,DPS,
4,Keep Construct CM,TRUE,328,Cry Me A River.8275,15286,15.943,97.063,82.667,91.29,45.788,0,24.038,0,0,0,244696,3,2,83.9598997493734,0,dps,DPS,
6,Keep Construct CM,TRUE,328,Montgomery.1624,23362,23.041,98.503,95.803,95.723,72.129,0.108,0,0,0,0,220698,1,0,76.2729124236253,0,dps,DPS,
8,Keep Construct CM,TRUE,328,MonTheR.2460,20927,21.399,99.464,76.204,96.946,62.659,0.221,16.443,0,0,0.114,232110,3,4,71.0204081632653,0,dps,DPS,
9,Keep Construct CM,TRUE,328,ups.9017,27922,22.998,99.527,96.334,99.636,83.541,0.163,23.89,0,0,0.174,311234,1,3,88.8198757763975,0,dps,DPS,
2,Deimos,FALSE,216,MrCamonkill.6419,0,22.278,99.817,93.518,85.396,78.059,3.876,0,0,0,0,145278,0,1,0,2,leftover/trash/whatever,DPS,
3,Deimos,FALSE,216,I Know You Want Me.4627,0,20.789,99.737,94.577,61.196,70.15,0,8.295,0,0,0,109331,0,0,0,2,leftover/trash/whatever,DPS,
4,Deimos,FALSE,216,Nopiki.8352,792,22.46,99.436,95.941,64.562,62.16,0,14.033,0,0,0,153453,0,2,100,2,leftover/trash/whatever,DPS,
6,Deimos,FALSE,216,Montgomery.1624,0,19.681,94.523,76.092,48.527,68.227,3.251,0,0,0,0,116338,0,0,0,2,leftover/trash/whatever,DPS,
7,Deimos,FALSE,216,ups.9017,0,19.696,94.988,68.175,80.721,78.106,0.747,9.963,0,0,0,128689,0,0,0,2,leftover/trash/whatever,DPS,
8,Deimos,FALSE,216,MonTheR.2460,0,20.026,87.688,73.746,96.031,68.055,0.081,10.413,0,0,0,180973,1,0,0,2,leftover/trash/whatever,DPS,
10,Deimos,FALSE,216,Shackled Prisoner,0,,,,,,0,0,0,0,0,0,0,0,0,2,leftover/trash/whatever,Heal,
11,Deimos,FALSE,216,Saul D'Alessio,0,7.75,24.378,7.163,43.525,24.325,0,0,0,0,0,37203,0,0,0,2,leftover/trash/whatever,Heal,
2,Samarog,FALSE,279,MrCamonkill.6419,11196,24.471,99.102,99.851,98.718,72,4.277,0,0,0,0,117312,0,0,97.4452554744526,2,leftover/trash/whatever,DPS,
3,Samarog,FALSE,279,I Know You Want Me.4627,10882,23.853,99.677,99.85,99.247,69.146,0,17.769,0,0,0,92775,0,1,95.1541850220264,2,leftover/trash/whatever,DPS,
4,Samarog,FALSE,279,Nopiki.8352,13728,24.7,99.678,99.851,99.665,69.362,0,15.497,0,0,0,127206,0,0,97.3811833171678,0,dps,DPS,
6,Samarog,FALSE,279,Montgomery.1624,13363,24.104,99.362,99.119,99.174,88.807,0.286,0,0,0,0,85303,0,0,100,0,dps,DPS,
7,Samarog,FALSE,279,ups.9017,16544,23.567,99.362,83.832,99.207,94.321,0,21.396,0,0,0,104655,0,0,100,0,dps,DPS,
8,Samarog,FALSE,279,MonTheR.2460,13853,23.807,99.677,74.634,99.207,88.052,0.079,23.759,0,0,0,141714,0,0,100,0,dps,DPS,
2,Mursaat Overseer,FALSE,83,MrCamonkill.6419,30349,24.702,99.282,99.727,99.105,95.453,5.291,0,0,0,0,48902,0,6,91.5492957746479,0,dps,DPS,
3,Mursaat Overseer,FALSE,83,I Know You Want Me.4627,24065,24.532,99.283,99.727,95.583,99.282,1.25,38.342,0,0,52.747,43044,0,6,93.8566552901024,0,dps,DPS,
4,Mursaat Overseer,FALSE,83,Nopiki.8352,33251,24.642,99.281,99.727,95.583,99.281,0,9.186,0,0,0,57173,0,4,95.748987854251,0,dps,DPS,
6,Mursaat Overseer,FALSE,83,ups.9017,35077,24.72,99.241,99.416,99.104,84.528,5.388,0,0,0,0,50396,0,6,93.9759036144578,0,dps,DPS,
8,Mursaat Overseer,FALSE,83,Montgomery.1624,29051,24.773,98.949,99.416,99.104,86.044,4.557,0,0,0,0,48662,0,13,92.4050632911392,0,dps,DPS,
9,Mursaat Overseer,FALSE,83,MonTheR.2460,29438,24.72,98.911,99.416,99.103,75.118,0.005,18.568,0,0,0,59385,0,3,90.6166219839142,0,dps,DPS,
2,Cairn CM,TRUE,87,MrCamonkill.6419,28092,23.401,99.84,96.1,71.25,44.438,3.457,0,0,0,0,50901,0,1,86.5612648221344,0,dps,DPS,
3,Cairn CM,TRUE,87,I Know You Want Me.4627,17610,24.224,99.84,96.1,67.182,93.137,0.214,13.638,0,0,0,44328,0,1,92.0502092050209,0,dps,DPS,
4,Cairn CM,TRUE,87,Nopiki.8352,33160,24.149,99.84,96.1,71.031,63.537,0,19.121,0,0,0,47649,0,2,90.6593406593407,0,dps,DPS,
5,Cairn CM,TRUE,87,Montgomery.1624,30798,24.434,99.841,98.469,98.785,94.424,5.482,0,0,0,1.652,33186,0,2,97.6923076923077,0,dps,DPS,
7,Cairn CM,TRUE,87,ups.9017,35550,24.588,99.658,95.2,98.785,93.55,4.506,0,0,0,0,44064,0,2,97.8571428571429,0,dps,DPS,
8,Cairn CM,TRUE,87,MonTheR.2460,24585,24.66,99.316,98.29,98.627,93.981,0.028,15.183,0,0,0,49383,0,0,85.989010989011,0,dps,DPS,
0,Dhuum,FALSE,322,MrCamonkill.6419,11529,20.854,91.973,80.626,72.237,86.148,2.068,0,0,0,0.446,161744,0,2,89.4736842105263,2,leftover/trash/whatever,DPS,
1,Dhuum,FALSE,322,I Know You Want Me.4627,6480,18.803,96.208,77.291,64.403,63.115,0,8.161,0,0,0,129099,0,3,65.8469945355191,2,leftover/trash/whatever,DPS,
3,Dhuum,FALSE,322,Nopiki.8352,14589,22.485,98.864,92.099,54.265,68.966,0,8.717,0,0,0.309,193778,0,2,79.9349240780911,0,dps,DPS,
5,Dhuum,FALSE,322,MonTheR.2460,12835,20.95,94.627,79.304,84.196,87.686,0.071,13.006,0,0,0.646,171777,1,0,81.6485225505443,2,leftover/trash/whatever,DPS,
6,Dhuum,FALSE,322,Montgomery.1624,11971,18.71,90.767,63.791,59.042,65.125,2.183,0,0,0,0.446,146191,0,3,86.5429234338747,2,leftover/trash/whatever,DPS,
8,Dhuum,FALSE,322,ups.9017,16142,22.222,98.522,85.228,87.082,82.594,3.075,0,0,0,0.596,115704,0,3,96.6535433070866,0,dps,DPS,
0,Dhuum,FALSE,158,MrCamonkill.6419,4203,21.999,99.476,93.461,46.985,59.367,2.789,0,0,0,0,76043,0,1,48.5294117647059,2,leftover/trash/whatever,DPS,
1,Dhuum,FALSE,158,I Know You Want Me.4627,3622,18.896,99.475,90.776,45.015,49.395,0,7.975,0,0,0,64170,0,3,96.4285714285714,2,leftover/trash/whatever,DPS,
3,Dhuum,FALSE,158,Nopiki.8352,5544,22.946,99.491,95.72,41.735,59.724,0,6.526,0,0,0,90448,0,0,65.9090909090909,2,leftover/trash/whatever,DPS,
5,Dhuum,FALSE,158,Montgomery.1624,4416,18.265,84.568,80.301,53.377,49.277,2.814,0,0,0,0,49924,0,0,100,2,leftover/trash/whatever,DPS,
6,Dhuum,FALSE,158,MonTheR.2460,5037,18.838,96.077,88.705,54.11,58.151,0.004,5.706,0,0,0,61717,0,0,100,2,leftover/trash/whatever,DPS,
8,Dhuum,FALSE,158,ups.9017,5674,19.278,88.349,84.105,63.59,62.777,1.896,0,0,0,0,71150,0,0,74.4186046511628,2,leftover/trash/whatever,DPS,
3,Soulless Horror CM,TRUE,183,MrCamonkill.6419,16636,22.494,92.003,86.688,94.402,82.713,3.014,0,0,0,1.615,124162,0,15,95.7264957264957,0,dps,DPS,
4,Soulless Horror CM,TRUE,183,Nopiki.8352,33258,22.839,96.238,96.72,96.72,85.798,0,15.656,0,0,0.206,190622,0,28,88.8245033112583,0,dps,DPS,
5,Soulless Horror CM,TRUE,183,ups.9017,32846,23.526,96.442,90.369,96.782,92.441,4.062,0,0,0,0.014,158223,0,20,96.9858156028369,0,dps,DPS,
7,Soulless Horror CM,TRUE,183,Montgomery.1624,17527,22.773,91.308,92.409,89.81,90.223,2.011,0,0,0,0,108979,0,12,97.4358974358974,0,dps,DPS,
9,Soulless Horror CM,TRUE,183,MonTheR.2460,25208,23.302,95.165,83.838,97.216,93.704,4.298,0,0,0,0.49,207457,0,28,88.8198757763975,0,dps,DPS,
2,Qadim,FALSE,390,ups.9017,7445,16.057,92.207,70.56,87.262,26.526,0.307,13.128,0,0,0,137078,0,3,99.0990990990991,2,leftover/trash/whatever,DPS,
3,Qadim,FALSE,390,MrCamonkill.6419,6543,18.833,95.072,94.306,88.504,30.837,0.014,0,0,0,0,264634,1,3,79.1423001949318,2,leftover/trash/whatever,DPS,
4,Qadim,FALSE,390,Nopiki.8352,6622,14.232,92.23,66.5,83.202,34.599,0.062,0,0,0,0,238214,1,0,76.271186440678,2,leftover/trash/whatever,DPS,
7,Qadim,FALSE,390,Montgomery.1624,7242,19.3,97.817,93.192,93.384,43.292,0.138,0,0,0,0,147236,0,5,78.2426778242678,2,leftover/trash/whatever,DPS,
8,Qadim,FALSE,390,YULookAtMe.6859,3547,11.103,97.058,37.684,71.192,43.747,0.965,15.765,0,0,7.244,102786,0,5,96.7441860465116,2,leftover/trash/whatever,DPS,
3,Twin Largos,FALSE,239,Nopiki.8352,13375,22.133,98.281,71.086,99.654,86.796,0.132,0,0,0,0,301707,0,2,67.2161172161172,0,dps,DPS,
4,Twin Largos,FALSE,239,YULookAtMe.6859,5153,18.298,95.735,53.579,80.037,53.829,0.564,13.157,0,0,8.348,187960,0,18,91.0505836575875,2,leftover/trash/whatever,DPS,
1,Conjured Amalgamate CM,TRUE,161,MrCamonkill.6419,29243,22.948,99.453,97.518,99.304,30.702,0,0,0,0,0,82750,0,12,98.394495412844,0,dps,DPS,
2,Conjured Amalgamate CM,TRUE,161,Nopiki.8352,29262,13.848,99.453,81.231,99.304,48.36,0.434,0,0,0,0,53037,0,0,88.4146341463415,0,dps,DPS,
4,Conjured Amalgamate CM,TRUE,161,YULookAtMe.6859,11525,13.43,99.453,89.433,90.98,15.763,0,14.156,0,0,0,92760,0,5,81.25,2,leftover/trash/whatever,DPS,
6,Conjured Amalgamate CM,TRUE,161,Montgomery.1624,27473,23.913,99.384,99.284,100,80.887,0,0,0,0,0,102109,0,0,93.9759036144578,0,dps,DPS,
7,Conjured Amalgamate CM,TRUE,161,MonTheR.2460,30124,23.347,99.384,99.284,100,61.283,0.284,14.995,0,0,0,69363,0,1,85.6060606060606,0,dps,DPS,
8,Conjured Amalgamate CM,TRUE,161,ups.9017,33311,23.447,99.384,99.284,100,67.347,0,25.437,0,0,0,62764,0,0,94.6031746031746,0,dps,DPS,
10,Conjured Amalgamate CM,TRUE,161,Conjured Sword,12343,,,,,,0,0,0,0,0,0,0,0,100,2,leftover/trash/whatever,Heal,
1,Qadim the Peerless,FALSE,295,Nopiki.8352,27285,19.22,97.718,81.029,86.67,42.313,0,11.873,0,0,0,148637,1,4,83.4988540870894,0,dps,DPS,
2,Qadim the Peerless,FALSE,295,Tiki.8579,13344,16.075,98.922,83.128,71.916,45.266,0,5.566,0,0,0,78120,1,7,98.8034188034188,0,dps,DPS,
4,Qadim the Peerless,FALSE,295,MrCamonkill.6419,13638,12.099,90.388,54.049,66.576,3.55,1.727,0,0,0,0,169189,0,25,45.3510436432638,0,dps,DPS,
5,Qadim the Peerless,FALSE,295,ups.9017,28999,22.653,97.404,97.597,97.026,96.981,1.169,0,0,0,0,124209,0,1,93.1880108991826,0,dps,DPS,
8,Qadim the Peerless,FALSE,295,Montgomery.1624,13774,11.822,91.049,74.243,63.836,8.222,2.036,0,0,0,0,216175,0,22,59.6618357487923,0,dps,DPS,
9,Qadim the Peerless,FALSE,295,MonTheR.2460,16945,17.467,97.404,93.214,80.415,32.947,2.664,0,0,0,0,216820,2,24,56.2805872756933,0,dps,DPS,
